Year,Month,Price
2007,2,290000
2007,3,328000
2007,4,399000
2007,5,359000
2007,6,385000
2007,7,780000
2007,8,760000
2007,9,590000
2007,10,556000
2007,11,825000
2007,12,825000
2008,1,485000
2008,2,625000
2008,3,580000
2008,4,522500
2008,5,690000
2008,6,760000
2008,7,700000
2008,8,595000
2008,9,975000
2008,10,1030000
2008,11,1425000
2008,12,855000
2009,1,890000
2009,2,627500
2009,3,2600000
2009,4,840000
2009,5,675000
2009,6,850000
2009,7,930000
2009,8,644000
2009,9,900000
2009,10,995000
2009,11,820000
2009,12,1340000
2010,1,825000
2010,2,891000
2010,3,685250
2010,4,832650
2010,5,965000
2010,6,840000
2010,7,935000
2010,8,900000
2010,9,965000
2010,10,1000000
2010,11,1175000
2010,12,940000
2011,1,805000
2011,2,1150000
2011,3,1310000
2011,4,1455000
2011,5,1475000
2011,6,4150000
2011,7,1780000
2011,8,1650000
2011,9,1250000
2011,10,900000
2011,11,1200000
2011,12,757000
2012,1,795000
2012,2,940000
2012,3,1380000
2012,4,963000
2012,5,1460000
2012,6,1010000
2012,7,1105000
2012,8,955000
2012,9,1605000
2012,10,1020000
2012,11,1000000
2012,12,900000
2013,1,835000
2013,2,843000
2013,3,1071000
2013,4,1100000
2013,5,902000
2013,6,870000
2013,7,1320000
2013,8,970000
2013,9,1180000
2013,10,1260000
2013,11,875000
2013,12,1200000
2014,1,1600000
2014,2,1080000
2014,3,1070000
2014,4,905000
2014,5,950000
2014,6,896000
2014,7,1900000
2014,8,1400000
2014,9,985000
2014,10,1160000
2014,11,1420000
2014,12,1230000
2015,1,995000
2015,2,1050000
2015,3,1800000
2015,4,1400000
2015,5,1715000
2015,6,1100000
2015,7,880000
2015,8,1344000
2015,9,1100000
2015,10,1500000
2015,11,1720000
2015,12,1315000
2016,1,1175000
2016,2,1470000
2016,3,1585000
2016,4,1701000
2016,5,1580000
2016,6,1350000
2016,7,1885000
2016,8,1320000
2016,9,2100000
2016,10,1370000
2016,11,6480000
2016,12,1530000
2017,1,1030000
2017,2,2075000
2017,3,1830000
2017,4,1375000
2017,5,1305000
2017,6,1610000
2017,7,1480000
2017,8,1390000
2017,9,1511000
2017,10,1365000
2017,11,1505000
2017,12,2120000
2018,1,1085000
2018,2,2800000
2018,3,2285000
2018,4,1575000
2018,5,1931000
2018,6,1500000
2018,7,1800000
2018,8,1425000
2018,9,1402000
2018,10,1580000
2018,11,1315000
2018,12,2190000
2019,1,2195000
2019,2,1137000
2019,3,1550000
2019,4,1575000
2019,5,1238000
2019,6,1290000
2019,7,1462000
